time,rmse,nees,error
1768960499.5997198,1.4954507259186498e-12,4.0596473634149884e-24,6.372043728556252e-13
1768960499.601471,1.4930951379965145e-12,4.060289022771477e-24,6.372583314383489e-13
1768960499.6032157,1.4907540094665352e-12,4.060976687864271e-24,6.373099570047806e-13
1768960499.6050334,1.4884271962422844e-12,4.061634674073644e-24,6.373665707522679e-13
1768960499.608201,1.4861145680905123e-12,4.062356299247867e-24,6.374211111216508e-13
1768960499.6097865,1.4838159850648866e-12,4.0630515562083955e-24,6.374703357947113e-13
1768960499.6115813,1.4815313038013925e-12,4.0636791004845976e-24,6.375230864847834e-13
1768960499.6145966,1.4770031299425432e-12,4.064993384685483e-24,6.375734160250882e-13
1768960499.6153014,1.4770031299425432e-12,4.064993384685483e-24,6.376286745092402e-13
1768960499.617738,1.4747593807926096e-12,4.0656980250415946e-24,6.376817909716435e-13
1768960499.6208029,1.4703119081599395e-12,4.066983996014324e-24,6.377295093043453e-13
1768960499.6226676,1.4703119081599395e-12,4.066983996014324e-24,6.377806890669023e-13
1768960499.625007,1.468107931084796e-12,4.067636782163506e-24,6.378293735636747e-13
1768960499.6281555,1.4637388827751756e-12,4.068941123651284e-24,6.378829397981679e-13
1768960499.6314354,1.4615735749672598e-12,4.0695966066704194e-24,6.379343186284369e-13
1768960499.6329641,1.4594209101693774e-12,4.070182283231875e-24,6.379802224426622e-13
1768960499.6358232,1.457280777217111e-12,4.0708114294318595e-24,6.380295295221306e-13
1768960499.6368322,1.455153056942089e-12,4.071407927044229e-24,6.380762744327743e-13
1768960499.639995,1.453037643366429e-12,4.072066256636425e-24,6.381278607399766e-13
1768960499.6411457,1.450934420725717e-12,4.072696080534892e-24,6.381772095105087e-13
1768960500.1962292,1.448843269506664e-12,4.073255263389759e-24,6.382210202676488e-13
1768960500.197284,1.448843269506664e-12,4.073255263389759e-24,6.382681876060992e-13
1768960500.1997313,1.4446967569560104e-12,4.074426020996456e-24,6.383127367173712e-13
1768960500.201788,1.4426419828369732e-12,4.081575667545854e-24,6.388725510578005e-13
1768960500.2056713,1.4405988408137718e-12,4.082081001085458e-24,6.389121000088631e-13
1768960500.2059143,1.4385672226571699e-12,4.082551226708672e-24,6.389488991964106e-13
1768960500.2079353,1.436547033119813e-12,4.083082181641506e-24,6.389904482626169e-13
1768960500.2097237,1.436547033119813e-12,4.083082181641506e-24,6.390296521397674e-13
1768960500.211837,1.4345381671438148e-12,4.083583198175952e-24,6.390631275250917e-13
1768960500.2142713,1.4325405157031753e-12,4.084011027861715e-24,6.390998315531078e-13
1768960500.2174041,1.430553984913689e-12,4.084480148292271e-24,6.391337608993382e-13
1768960500.2202005,1.4266138901519648e-12,4.085408161769783e-24,6.391724332376347e-13
1768960500.222892,1.4266138901519648e-12,4.085408161769783e-24,6.392087470513084e-13
1768960500.227151,1.422717113290429e-12,4.086262865991855e-24,6.392392925942649e-13
