time,rmse,nees,error
1768963278.3619814,1.8556725371181174e-12,4.27943334440664e-24,6.539150269470129e-13
1768963278.367166,1.8529616668221213e-12,4.27248157699111e-24,6.536516551310897e-13
1768963278.369656,1.8529616668221213e-12,4.27248157699111e-24,6.535495492399128e-13
1768963278.373844,1.85026451993339e-12,4.271146460506092e-24,6.534091990563255e-13
1768963278.3783257,1.8489210334567997e-12,4.2667351163808354e-24,6.53212000197638e-13
1768963278.381231,1.847580947983875e-12,4.2667351163808354e-24,6.530829273184129e-13
1768963278.3854275,1.847580947983875e-12,4.26504883472141e-24,6.528427757708734e-13
1768963278.3894644,1.8462441842829153e-12,4.261912465776422e-24,6.526184999937259e-13
1768963278.393917,1.844910737618015e-12,4.258984457208748e-24,6.525258665069404e-13
1768963278.3972652,1.8422539391928453e-12,4.255883384895837e-24,6.523809030212515e-13
1768963278.4032583,1.8409305685413647e-12,4.25488115513448e-24,6.523041031791369e-13
1768963278.4275494,1.8396105892264714e-12,4.25488115513448e-24,6.523036552943867e-13
1768963278.4309971,1.8382941512123954e-12,4.258550535655274e-24,6.525855367528744e-13
1768963278.434449,1.8369810580833127e-12,4.258550535655274e-24,6.525538046748088e-13
1768963278.439478,1.835671356307088e-12,4.2590784184949695e-24,6.526260348238519e-13
1768963278.440985,1.834365015472116e-12,4.2590784184949695e-24,6.526697818169159e-13
1768963278.4448967,1.8330618948167806e-12,4.2573566358772835e-24,6.524941826324484e-13
1768963278.4480393,1.8317622115127716e-12,4.2573566358772835e-24,6.527171800274812e-13
1768963278.4513407,1.830465836932386e-12,4.260266548510264e-24,6.52741649380941e-13
1768963278.4547937,1.8291727866938014e-12,4.261563331560468e-24,6.528165777692971e-13
1768963278.4579167,1.827883421377492e-12,4.261563331560468e-24,6.53539498146939e-13
1768963278.4613786,1.8265972014443538e-12,4.2710061966378626e-24,6.533521196833791e-13
1768963278.4648166,1.8253141949461648e-12,4.267944429864938e-24,6.533052562140717e-13
1768963278.468181,1.8240343628312264e-12,4.267944429864938e-24,6.532133219252417e-13
1768963278.4713874,1.8227576062340487e-12,4.2667429037046254e-24,6.529719921636905e-13
1768963278.5309873,1.8227576062340487e-12,4.263590530024932e-24,6.530539886220948e-13
1768963278.537192,1.8202136224902997e-12,4.2646609667149706e-24,6.5278160942215e-13
1768963278.541374,1.8202136224902997e-12,4.261103995107192e-24,6.539760504484904e-13
1768963278.5454392,1.818947007977425e-12,4.27671068017902e-24,6.525352043647238e-13
1768963278.5494132,1.8176827294309813e-12,4.257886712911449e-24,6.511861639666334e-13
1768963278.5534956,1.8164208305669788e-12,4.240299770811954e-24,6.499748879174824e-13
1768963278.5576417,1.8151613808038775e-12,4.224539825659589e-24,6.488733727316044e-13
1768963278.5620136,1.8126500090800478e-12,4.196677374339567e-24,6.478278978680084e-13
1768963278.5659475,1.8126500090800478e-12,4.196677374339567e-24,6.468678984119579e-13
1768963278.5705686,1.8113981474241374e-12,4.18424885437796e-24,6.459629780023707e-13
1768963278.5747497,1.8101488689251047e-12,4.17255028062953e-24,6.451533829607628e-13
1768963278.5788383,1.8076582217379644e-12,4.1620979324869465e-24,6.444164014989855e-13
1768963278.5832853,1.8064168886929307e-12,4.143469672094918e-24,6.437079916427635e-13
1768963278.5871935,1.8051782388565156e-12,4.135084099461804e-24,6.430562836777616e-13
1768963278.5908337,1.8051782388565156e-12,4.135084099461804e-24,6.424362757971709e-13
1768963278.5947862,1.8039422791771627e-12,4.127114296146651e-24,6.418853893263785e-13
1768963278.5987637,1.8027090374017692e-12,4.120039458604087e-24,6.413849874560324e-13
1768963278.6031084,1.8002507556823533e-12,4.107373795042403e-24,6.408979870841019e-13
1768963278.6065786,1.8002507556823533e-12,4.107373795042403e-24,6.404512477488845e-13
1768963278.6104906,1.7990257236599028e-12,4.101649760703349e-24,6.400233197364616e-13
1768963278.6336124,1.796582953747463e-12,4.0693499939965096e-24,6.379245064952871e-13
